GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
POPGROUP.id,Id
POPGROUP.display-label,Population Group
EST_VC01,Estimate; Total population
MOE_VC01,Margin of Error; Total population
EST_VC03,Estimate; Total population - SEX AND AGE - Male
MOE_VC03,Margin of Error; Total population - SEX AND AGE - Male
EST_VC04,Estimate; Total population - SEX AND AGE - Female
MOE_VC04,Margin of Error; Total population - SEX AND AGE - Female
EST_VC05,Estimate; Total population - SEX AND AGE - Under 5 years
MOE_VC05,Margin of Error; Total population - SEX AND AGE - Under 5 years
EST_VC06,Estimate; Total population - SEX AND AGE - 5 to 17 years
MOE_VC06,Margin of Error; Total population - SEX AND AGE - 5 to 17 years
EST_VC07,Estimate; Total population - SEX AND AGE - 18 to 24 years
MOE_VC07,Margin of Error; Total population - SEX AND AGE - 18 to 24 years
EST_VC08,Estimate; Total population - SEX AND AGE - 25 to 34 years
MOE_VC08,Margin of Error; Total population - SEX AND AGE - 25 to 34 years
EST_VC09,Estimate; Total population - SEX AND AGE - 35 to 44 years
MOE_VC09,Margin of Error; Total population - SEX AND AGE - 35 to 44 years
EST_VC10,Estimate; Total population - SEX AND AGE - 45 to 54 years
MOE_VC10,Margin of Error; Total population - SEX AND AGE - 45 to 54 years
EST_VC11,Estimate; Total population - SEX AND AGE - 55 to 64 years
MOE_VC11,Margin of Error; Total population - SEX AND AGE - 55 to 64 years
EST_VC12,Estimate; Total population - SEX AND AGE - 65 to 74 years
MOE_VC12,Margin of Error; Total population - SEX AND AGE - 65 to 74 years
EST_VC13,Estimate; Total population - SEX AND AGE - 75 years and over
MOE_VC13,Margin of Error; Total population - SEX AND AGE - 75 years and over
EST_VC14,Estimate; Total population - SEX AND AGE - Median age (years)
MOE_VC14,Margin of Error; Total population - SEX AND AGE - Median age (years)
EST_VC15,Estimate; Total population - SEX AND AGE - 18 years and over
MOE_VC15,Margin of Error; Total population - SEX AND AGE - 18 years and over
EST_VC16,Estimate; Total population - SEX AND AGE - 21 years and over
MOE_VC16,Margin of Error; Total population - SEX AND AGE - 21 years and over
EST_VC17,Estimate; Total population - SEX AND AGE - 62 years and over
MOE_VC17,Margin of Error; Total population - SEX AND AGE - 62 years and over
EST_VC18,Estimate; Total population - SEX AND AGE - 65 years and over
MOE_VC18,Margin of Error; Total population - SEX AND AGE - 65 years and over
EST_VC19,Estimate; Total population - SEX AND AGE - Under 18 years
MOE_VC19,Margin of Error; Total population - SEX AND AGE - Under 18 years
EST_VC20,Estimate; Total population - SEX AND AGE - Under 18 years - Male
MOE_VC20,Margin of Error; Total population - SEX AND AGE - Under 18 years - Male
EST_VC21,Estimate; Total population - SEX AND AGE - Under 18 years - Female
MOE_VC21,Margin of Error; Total population - SEX AND AGE - Under 18 years - Female
EST_VC22,Estimate; Total population - SEX AND AGE - 18 years and over
MOE_VC22,Margin of Error; Total population - SEX AND AGE - 18 years and over
EST_VC23,Estimate; Total population - SEX AND AGE - 18 years and over - Male
MOE_VC23,Margin of Error; Total population - SEX AND AGE - 18 years and over - Male
EST_VC24,Estimate; Total population - SEX AND AGE - 18 years and over - Female
MOE_VC24,Margin of Error; Total population - SEX AND AGE - 18 years and over - Female
EST_VC25,Estimate; Total population - SEX AND AGE - 18 to 34 years
MOE_VC25,Margin of Error; Total population - SEX AND AGE - 18 to 34 years
EST_VC26,Estimate; Total population - SEX AND AGE - 18 to 34 years - Male
MOE_VC26,Margin of Error; Total population - SEX AND AGE - 18 to 34 years - Male
EST_VC27,Estimate; Total population - SEX AND AGE - 18 to 34 years - Female
MOE_VC27,Margin of Error; Total population - SEX AND AGE - 18 to 34 years - Female
EST_VC28,Estimate; Total population - SEX AND AGE - 35 to 64 years
MOE_VC28,Margin of Error; Total population - SEX AND AGE - 35 to 64 years
EST_VC29,Estimate; Total population - SEX AND AGE - 35 to 64 years - Male
MOE_VC29,Margin of Error; Total population - SEX AND AGE - 35 to 64 years - Male
EST_VC30,Estimate; Total population - SEX AND AGE - 35 to 64 years - Female
MOE_VC30,Margin of Error; Total population - SEX AND AGE - 35 to 64 years - Female
EST_VC31,Estimate; Total population - SEX AND AGE - 65 years and over
MOE_VC31,Margin of Error; Total population - SEX AND AGE - 65 years and over
EST_VC32,Estimate; Total population - SEX AND AGE - 65 years and over - Male
MOE_VC32,Margin of Error; Total population - SEX AND AGE - 65 years and over - Male
EST_VC33,Estimate; Total population - SEX AND AGE - 65 years and over - Female
MOE_VC33,Margin of Error; Total population - SEX AND AGE - 65 years and over - Female
EST_VC35,Estimate; RELATIONSHIP - Population in households
MOE_VC35,Margin of Error; RELATIONSHIP - Population in households
EST_VC36,Estimate; RELATIONSHIP - Population in households - Householder or spouse
MOE_VC36,Margin of Error; RELATIONSHIP - Population in households - Householder or spouse
EST_VC37,Estimate; RELATIONSHIP - Population in households - Child
MOE_VC37,Margin of Error; RELATIONSHIP - Population in households - Child
EST_VC38,Estimate; RELATIONSHIP - Population in households - Other relatives
MOE_VC38,Margin of Error; RELATIONSHIP - Population in households - Other relatives
EST_VC39,Estimate; RELATIONSHIP - Population in households - Nonrelatives
MOE_VC39,Margin of Error; RELATIONSHIP - Population in households - Nonrelatives
EST_VC40,Estimate; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner
MOE_VC40,Margin of Error; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner
EST_VC42,Estimate; HOUSEHOLDS BY TYPE - Households
MOE_VC42,Margin of Error; HOUSEHOLDS BY TYPE - Households
EST_VC43,Estimate; HOUSEHOLDS BY TYPE - Households - Family households
MOE_VC43,Margin of Error; HOUSEHOLDS BY TYPE - Households - Family households
EST_VC44,Estimate; HOUSEHOLDS BY TYPE - Households - Family households - With own children under 18 years
MOE_VC44,Margin of Error; HOUSEHOLDS BY TYPE - Households - Family households - With own children under 18 years
EST_VC45,Estimate; HOUSEHOLDS BY TYPE - Households - Married-couple families
MOE_VC45,Margin of Error; HOUSEHOLDS BY TYPE - Households - Married-couple families
EST_VC46,Estimate; HOUSEHOLDS BY TYPE - Households - Married-couple families - With own children under 18 years
MOE_VC46,Margin of Error; HOUSEHOLDS BY TYPE - Households - Married-couple families - With own children under 18 years
EST_VC47,"Estimate; HOUSEHOLDS BY TYPE - Households - Female householder, no husband present"
MOE_VC47,"Margin of Error; HOUSEHOLDS BY TYPE - Households - Female householder, no husband present"
EST_VC48,"Estimate; HOUSEHOLDS BY TYPE - Households - Female householder, no husband present - With own children under 18 years"
MOE_VC48,"Margin of Error; HOUSEHOLDS BY TYPE - Households - Female householder, no husband present - With own children under 18 years"
EST_VC49,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households
MOE_VC49,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households
EST_VC50,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder
MOE_VC50,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder
EST_VC51,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder - Living alone
MOE_VC51,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder - Living alone
EST_VC52,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder - Not living alone
MOE_VC52,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Male householder - Not living alone
EST_VC53,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder
MOE_VC53,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder
EST_VC54,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder - Living alone
MOE_VC54,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder - Living alone
EST_VC55,Estimate; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder - Not living alone
MOE_VC55,Margin of Error; HOUSEHOLDS BY TYPE - Households - Nonfamily households - Female householder - Not living alone
EST_VC56,Estimate; HOUSEHOLDS BY TYPE - Households - Average household size
MOE_VC56,Margin of Error; HOUSEHOLDS BY TYPE - Households - Average household size
EST_VC57,Estimate; HOUSEHOLDS BY TYPE - Households - Average family size
MOE_VC57,Margin of Error; HOUSEHOLDS BY TYPE - Households - Average family size
EST_VC59,Estimate; MARITAL STATUS - Population 15 years and over
MOE_VC59,Margin of Error; MARITAL STATUS - Population 15 years and over
EST_VC60,"Estimate; MARITAL STATUS - Population 15 years and over - Now married, except separated"
MOE_VC60,"Margin of Error; MARITAL STATUS - Population 15 years and over - Now married, except separated"
EST_VC61,Estimate; MARITAL STATUS - Population 15 years and over - Widowed
MOE_VC61,Margin of Error; MARITAL STATUS - Population 15 years and over - Widowed
EST_VC62,Estimate; MARITAL STATUS - Population 15 years and over - Divorced
MOE_VC62,Margin of Error; MARITAL STATUS - Population 15 years and over - Divorced
EST_VC63,Estimate; MARITAL STATUS - Population 15 years and over - Separated
MOE_VC63,Margin of Error; MARITAL STATUS - Population 15 years and over - Separated
EST_VC64,Estimate; MARITAL STATUS - Population 15 years and over - Never married
MOE_VC64,Margin of Error; MARITAL STATUS - Population 15 years and over - Never married
EST_VC65,Estimate; MARITAL STATUS - Male 15 years and over
MOE_VC65,Margin of Error; MARITAL STATUS - Male 15 years and over
EST_VC66,"Estimate; MARITAL STATUS - Male 15 years and over - Now married, except separated"
MOE_VC66,"Margin of Error; MARITAL STATUS - Male 15 years and over - Now married, except separated"
EST_VC67,Estimate; MARITAL STATUS - Male 15 years and over - Widowed
MOE_VC67,Margin of Error; MARITAL STATUS - Male 15 years and over - Widowed
EST_VC68,Estimate; MARITAL STATUS - Male 15 years and over - Divorced
MOE_VC68,Margin of Error; MARITAL STATUS - Male 15 years and over - Divorced
EST_VC69,Estimate; MARITAL STATUS - Male 15 years and over - Separated
MOE_VC69,Margin of Error; MARITAL STATUS - Male 15 years and over - Separated
EST_VC70,Estimate; MARITAL STATUS - Male 15 years and over - Never married
MOE_VC70,Margin of Error; MARITAL STATUS - Male 15 years and over - Never married
EST_VC71,Estimate; MARITAL STATUS - Female 15 years and over
MOE_VC71,Margin of Error; MARITAL STATUS - Female 15 years and over
EST_VC72,"Estimate; MARITAL STATUS - Female 15 years and over - Now married, except separated"
MOE_VC72,"Margin of Error; MARITAL STATUS - Female 15 years and over - Now married, except separated"
EST_VC73,Estimate; MARITAL STATUS - Female 15 years and over - Widowed
MOE_VC73,Margin of Error; MARITAL STATUS - Female 15 years and over - Widowed
EST_VC74,Estimate; MARITAL STATUS - Female 15 years and over - Divorced
MOE_VC74,Margin of Error; MARITAL STATUS - Female 15 years and over - Divorced
EST_VC75,Estimate; MARITAL STATUS - Female 15 years and over - Separated
MOE_VC75,Margin of Error; MARITAL STATUS - Female 15 years and over - Separated
EST_VC76,Estimate; MARITAL STATUS - Female 15 years and over - Never married
MOE_VC76,Margin of Error; MARITAL STATUS - Female 15 years and over - Never married
EST_VC78,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
MOE_VC78,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
